"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 29 01:07:33 EEST 2022","Sat Oct 29 01:07:33 EEST 2022","104","","Telnyx main page test","","Telnyx main page test","should detect if the Twitter link is clickable","should detect if the Twitter link is clickable",""
"broken","Fri Oct 28 15:27:38 EEST 2022","Fri Oct 28 15:27:39 EEST 2022","775","","Telnyx main page test","","Telnyx main page test","should detect if the menu is visible","should detect if the menu is visible",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect the focus of the Products section","should detect the focus of the Products section",""
"passed","Sat Oct 29 01:07:43 EEST 2022","Sat Oct 29 01:07:44 EEST 2022","1060","","Telnyx header test","","Telnyx header test","should detect if the talk to expert button is clickable","should detect if the talk to expert button is clickable",""
"passed","Fri Oct 28 17:33:17 EEST 2022","Fri Oct 28 17:33:17 EEST 2022","40","","Telnyx main page test","","Telnyx main page test","should detect if the Log In link is visible","should detect if the Log In link is visible",""
"passed","Sat Oct 29 01:07:48 EEST 2022","Sat Oct 29 01:07:48 EEST 2022","24","","Telnyx header test","","Telnyx header test","should detect if the Log In link is visible","should detect if the Log In link is visible",""
"passed","Fri Oct 28 19:04:22 EEST 2022","Fri Oct 28 19:04:22 EEST 2022","370","","Telnyx Login page test","","Telnyx Login page test","Checks if the ""Telnyx"" logo button refreshes the page.","Checks if the ""Telnyx"" logo button refreshes the page.",""
"passed","Fri Oct 28 17:33:16 EEST 2022","Fri Oct 28 17:33:16 EEST 2022","455","","Telnyx main page test","","Telnyx main page test","should detect if the menu section is visible","should detect if the menu section is visible",""
"skipped","Fri Oct 28 08:33:37 EEST 2022","Fri Oct 28 08:33:37 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","Checks if website has a specific title.","Checks if website has a specific title.",""
"passed","Sat Oct 29 01:07:33 EEST 2022","Sat Oct 29 01:07:33 EEST 2022","79","","Telnyx main page test","","Telnyx main page test","should detect if the header menu is visible","should detect if the header menu is visible",""
"skipped","Fri Oct 28 19:01:57 EEST 2022","Fri Oct 28 19:01:57 EEST 2022","0","","Telnyx main page test","","Telnyx main page test","Checks if main page is on a specific page.","Checks if main page is on a specific page.",""
"passed","Sat Oct 29 01:07:20 EEST 2022","Sat Oct 29 01:07:20 EEST 2022","368","","Telnyx Login page test","","Telnyx Login page test","Checks if the ""Telnyx"" logo button refreshes the page.","Checks if the ""Telnyx"" logo button refreshes the page.",""
"passed","Fri Oct 28 19:04:22 EEST 2022","Fri Oct 28 19:04:22 EEST 2022","263","","Telnyx Login page test","","Telnyx Login page test","Checks if login page has a specific title.","Checks if login page has a specific title.",""
"passed","Sat Oct 29 01:07:55 EEST 2022","Sat Oct 29 01:07:59 EEST 2022","3793","","Telnyx main page test","","Telnyx main page test","Checks if ""Telnyx"" logo button returns to the main page.","Checks if ""Telnyx"" logo button returns to the main page.",""
"skipped","Fri Oct 28 19:03:20 EEST 2022","Fri Oct 28 19:03:20 EEST 2022","0","","Telnyx Login page test","","Telnyx Login page test","Checks if login page is on a specific page.","Checks if login page is on a specific page.",""
"passed","Sat Oct 29 01:07:45 EEST 2022","Sat Oct 29 01:07:46 EEST 2022","578","","Telnyx header test","","Telnyx header test","should detect if the menu section is visible","should detect if the menu section is visible",""
"passed","Fri Oct 28 19:04:41 EEST 2022","Fri Oct 28 19:04:41 EEST 2022","37","","Telnyx main page test","","Telnyx main page test","Checks if main page has a specific title.","Checks if main page has a specific title.",""
"passed","Fri Oct 28 19:04:36 EEST 2022","Fri Oct 28 19:04:36 EEST 2022","59","","Telnyx header test","","Telnyx header test","should detect the focus of the Network section","should detect the focus of the Network section",""
"passed","Fri Oct 28 19:04:28 EEST 2022","Fri Oct 28 19:04:28 EEST 2022","28","","Telnyx main page test","","Telnyx main page test","should detect if the Facebook link is clickable","should detect if the Facebook link is clickable",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect if the talk to expert button is clickable","should detect if the talk to expert button is clickable",""
"skipped","Fri Oct 28 19:01:51 EEST 2022","Fri Oct 28 19:01:51 EEST 2022","0","","Telnyx header test","","Telnyx header test","should detect if the Elastic SIP Trunking section is displayed","should detect if the Elastic SIP Trunking section is displayed",""
"passed","Sat Oct 29 01:07:20 EEST 2022","Sat Oct 29 01:07:20 EEST 2022","28","","Telnyx Login page test","","Telnyx Login page test","Checks if login page has a specific title.","Checks if login page has a specific title.",""
"passed","Fri Oct 28 19:04:35 EEST 2022","Fri Oct 28 19:04:35 EEST 2022","27","","Telnyx header test","","Telnyx header test","should detect if the talk to expert button is clickable","should detect if the talk to expert button is clickable",""
"passed","Sat Oct 29 01:07:48 EEST 2022","Sat Oct 29 01:07:48 EEST 2022","73","","Telnyx header test","","Telnyx header test","should detect the focus of the Products section","should detect the focus of the Products section",""
